Name,Structure_Code,Nominal_Size_FT,Length,Wall_Thickness_IN,Top_Thickness_IN,Bottom_Thickness_IN,Headloss_K_Value,Structure_Type,Specification_Source
I-CO_FTW-(15ft_Opening),I-CO_FTW,15ft_Opening,15,8,6,10,0.85,Curb Inlet Outside Pavement (15ft Box Base),TxDOT FTW I-CO
I-CO_FTW-(20ft_Opening),I-CO_FTW,20ft_Opening,20,8,8,12,0.85,Curb Inlet Outside Pavement (20ft Box Base),TxDOT FTW I-CO
I-CO-C_FTW-(5x10_Box_Base),I-CO-C_FTW,5x10_Box_Base,10,8,6,10,0.9,Curb Inlet Outside Pavement Over Box Culvert,TxDOT FTW I-CO-C
I-CU_FTW-(5ft_Opening),I-CU_FTW,5ft_Opening,5,6,6,10,0.85,Curb Inlet Under Pavement (5ft Box Base),TxDOT FTW I-CU
I-CU_FTW-(10ft_Opening),I-CU_FTW,10ft_Opening,10,6,6,10,0.85,Curb Inlet Under Pavement (10ft Box Base),TxDOT FTW I-CU
I-CU_FTW-(15ft_Opening),I-CU_FTW,15ft_Opening,15,8,8,12,0.85,Curb Inlet Under Pavement (15ft Box Base),TxDOT FTW I-CU
I-CU_FTW-(20ft_Opening),I-CU_FTW,20ft_Opening,20,8,8,12,0.85,Curb Inlet Under Pavement (20ft Box Base),TxDOT FTW I-CU
I-CU-C_FTW-(5x10_Box_Base),I-CU-C_FTW,5x10_Box_Base,10,10,8,10,0.9,Curb Inlet Under Pavement Over Box Culvert,TxDOT FTW I-CU-C
I-COB_FTW-(5ft_Opening),I-COB_FTW,5ft_Opening,5,6,6,10,0.85,Curb Inlet Open Back / Bypass (5ft Base),TxDOT FTW I-COB
I-COB_FTW-(10ft_Opening),I-COB_FTW,10ft_Opening,10,6,6,10,0.85,Curb Inlet Open Back / Bypass (10ft Base),TxDOT FTW I-COB
I-COB_FTW-(15ft_Opening),I-COB_FTW,15ft_Opening,15,8,6,12,0.85,Curb Inlet Open Back / Bypass (15ft Base),TxDOT FTW I-COB
I-COB_FTW-(20ft_Opening),I-COB_FTW,20ft_Opening,20,8,8,12,0.85,Curb Inlet Open Back / Bypass (20ft Base),TxDOT FTW I-COB
I-COB-C_FTW-(5x10_Box_Base),I-COB-C_FTW,5x10_Box_Base,10,8,6,10,0.95,Curb Inlet Open Back Over Box Culvert,TxDOT FTW I-COB-C
I-RWF_FTW-(3x3_Riser),I-RWF_FTW,3x3_Riser,3,6,6,8,0.7,Roadway Winged Flume Inlet,TxDOT FTW I-RWF
TY_SD_FTW-(7x3_Base),TY_SD_FTW,7x3_Base,3,8,10,10,1,Type SD Storm Drain Junction Manhole,TxDOT FTW TY SD
TY_SD_FTW-(7x4_Base),TY_SD_FTW,7x4_Base,4,8,10,10,1,Type SD Storm Drain Junction Manhole,TxDOT FTW TY SD
TY_SD_FTW-(7x5_Base),TY_SD_FTW,7x5_Base,5,8,10,10,1,Type SD Storm Drain Junction Manhole,TxDOT FTW TY SD
TY_SD_FTW-(7x6_Base),TY_SD_FTW,7x6_Base,6,8,10,12,1,Type SD Storm Drain Junction Manhole,TxDOT FTW TY SD
TY_SD_FTW-(7x7_Base),TY_SD_FTW,7x7_Base,7,8,12,12,1,Type SD Storm Drain Junction Manhole,TxDOT FTW TY SD
TY_SD_FTW-(8x3_Base),TY_SD_FTW,8x3_Base,3,10,10,12,1,Type SD Storm Drain Junction Manhole,TxDOT FTW TY SD
TY_SD_FTW-(8x4_Base),TY_SD_FTW,8x4_Base,4,10,10,12,1,Type SD Storm Drain Junction Manhole,TxDOT FTW TY SD
TY_SD_FTW-(10x10_Base),TY_SD_FTW,10x10_Base,10,12,14,14,1,Type SD Large Storm Drain Junction Manhole,TxDOT FTW TY SD
